VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,LINCVMIN,LINCVMAX
1,25,19,0,22,0,1,2.6,1.2,3
1,25,24,0,22,0,1.2,3.2,1.4,3.7
1.5,40,32,0,22,0,1.8,4,2.1,6.3
1.5,40,37,0,22,0,1.8,5.4,2.1,6.2
2,50,32,0,22,0,1.8,4,2.1,6.3
2,50,37,0,22,0,2.9,9.7,3.4,11.4
2,50,48,0,22,0,3.5,12.1,4.1,14.2
3,80,48,73,22,0,3.5,12.1,4.1,14.2
3,80,62,73,22,0,4.5,15.7,5.3,18.4
3,80,73,73,22,0,5.5,18.2,6.4,21.3
4,100,62,90,22,0,4.5,15.7,5.3,18.4
4,100,73,90,22,0,5.5,18.2,6.4,21.3
4,100,90,90,22,0,7,24.2,8.2,28.3
6,150,90,143,32,0,16,53,18.7,62
6,150,113,143,32,0,20,67,23.4,78.4
6,150,143,143,32,0,25,88,29.3,103
8,200,113,172,32,0,20,67,23.4,78.4
8,200,143,172,32,0,25,88,29.3,103
8,200,172,172,32,0,32,107,37.4,125.2
10,250,143,220,32,0,80,270,93.6,315.9
10,250,172,220,32,0,118,395,138.1,462.2
10,250,220,220,32,0,142,476,166.1,556.9
