TEMP(°C),150,300,600,900,1500,2500,4500
38,19.8,51.7,103.4,155.1,258.6,430.9,775.7
50,19.5,51.7,103.4,155.1,258.6,430.9,775.7
100,17.7,51.5,103,154.4,257.4,429,772.2
150,15.8,49.7,99.5,149.2,248.7,414.5,746.2
200,13.8,48,95.9,143.9,239.8,399.6,719.4
250,12.1,46.3,92.7,139,231.8,386.2,694.8
300,10.2,42.9,85.7,128.6,214.4,357.1,642.6
325,9.3,41.4,82.6,124,206.6,344.3,619.6
350,8.4,40.3,80.4,120.7,201.1,335.3,603.3
375,7.4,38.9,77.6,116.5,194.1,323.2,581.8
400,6.5,36.5,73.3,109.8,183.1,304.9,548.5
425,5.5,35.2,70,105.1,175.1,291.6,524.7
450,4.6,33.7,67.7,101.4,169,281.8,507
475,3.7,31.7,63.4,95.1,158.2,263.9,474.8
500,2.8,25.7,51.5,77.2,128.6,214.4,385.9
538,1.4,14.9,29.8,44.7,74.5,124.1,223.4
550,1.4,12.7,25.4,38.1,63.5,105.9,190.6
575,1.4,8.8,17.6,26.4,44,73.4,132
600,1.4,6.1,12.2,18.3,30.5,50.9,91.6
625,1.4,4.3,8.5,12.8,21.3,35.5,63.9
650,1.1,2.8,5.7,8.5,14.2,23.6,42.6
