VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,LINCVMIN,LINCVMAX
0.5,15,20,0,14,0,1.5,4.1,1.76,4.8
1,25,20,0,14,0,1.5,4.1,1.76,4.8
1,25,25,0,14,0,2,6.1,2.34,7.14
1.5,40,25,0,14,0,2,6.1,2.34,7.14
1.5,40,36,0,14,0,3,10.6,3.51,12.4
2,50,36,0,14,0,3,10.6,3.51,12.4
2,50,46,0,14,0,3.5,12.2,4.1,14.27
2,50,50,0,14,0,13.2,13.2,15.44,15.44
2.5,65,36,0,14,0,3,10.6,3.51,12.4
2.5,65,46,0,14,0,3.5,12.2,4.1,14.27
2.5,65,50,0,14,0,13.2,13.2,15.44,15.44
3,80,50,80,20,0,7,23.5,8.19,27.5
3,80,80,80,20,0,10,35.3,11.7,41.3
4,100,80,100,20,0,10,35.3,11.7,41.3
4,100,100,100,20,0,14,47.1,16.38,55.11
6,150,90,143,20,0,30,103,35.1,120.51
6,150,113,143,20,0,40,132,46.8,154.44
6,150,143,143,20,0,51,171,59.67,200.07
8,200,113,172,20,0,40,132,46.8,154.44
8,200,143,172,20,0,51,171,59.67,200.07
8,200,172,172,20,0,62,209,72.54,244.53
10,250,143,220,30,0,80,270,93.6,315.9
10,250,172,220,30,0,118,395,138.06,462.15
10,250,220,220,30,0,142,476,166.14,556.92
12,300,172,282,30,0,118,395,138.06,462.15
12,300,220,282,30,0,142,476,166.14,556.92
12,300,282,282,30,0,205,687,239.85,803.79
14,350,220,313,30,0,142,476,166.14,556.92
14,350,282,313,30,0,205,687,239.85,803.79
14,350,313,313,30,0,250,730,292.5,854.1
16,400,282,400,30,0,220,700,257.4,819
16,400,313,400,30,0,270,800,315.9,936
16,400,400,400,30,0,350,1180,409.5,1380.6
