°C,150,300,600,900,1500,2500,4500
38,19,49.6,99.3,148.9,248.2,413.7,744.6
50,18.4,48.1,96.2,144.3,240.6,400.9,721.7
100,16.2,42.2,84.4,126.6,211,351.6,632.9
150,14.8,38.5,77,115.5,192.5,320.8,577.4
200,13.7,35.7,71.3,107,178.3,297.2,534.9
250,12.1,33.4,66.8,100.1,166.9,278.1,500.6
300,10.2,31.6,63.2,94.9,158.1,263.5,474.3
325,9.3,30.9,61.8,92.7,154.4,257.4,463.3
350,8.4,30.3,60.7,91,151.6,252.7,454.9
375,7.4,29.9,59.8,89.6,149.4,249,448.2
400,6.5,29.4,58.9,88.3,147.2,245.3,441.6
425,5.5,29.1,58.3,87.4,145.7,242.9,437.1
450,4.6,28.8,57.7,86.5,144.2,240.4,432.7
475,3.7,28.7,57.3,86,143.4,238.9,430.1
500,2.8,28.2,56.5,84.7,140.9,235,423
538,1.4,25.2,50,75.2,125.5,208.9,375.8
550,1.4,25,49.8,74.8,124.9,208,374.2
575,1.4,24,47.9,71.8,119.7,199.5,359.1
600,1.4,19.9,39.8,59.7,99.5,165.9,298.6
625,1.4,15.8,31.6,47.4,79.1,131.8,237.2
650,1.4,12.7,25.3,38,63.3,105.5,189.9
675,1.4,10.3,20.6,31,51.6,86,154.8
700,1.4,8.4,16.8,25.1,41.9,69.8,125.7
725,1.4,7,14,21,34.9,58.2,104.8
750,1.4,5.9,11.7,17.6,29.3,48.9,87.9
775,1.4,4.6,9,13.7,22.8,38,68.4
800,1.2,3.5,7,10.5,17.4,29.2,52.6
816,1,2.8,5.9,8.6,14.1,23.8,42.7
