Temperature°C,150,300,600,900,1500,2500,4500
-29,18.4,48,96,144.1,240.1,400.1,720.3
38,18.4,48,96,144.1,240.1,400.1,720.3
50,18.2,47.5,94.9,142.4,237.3,395.6,712
100,17.4,45.3,90.7,136,226.7,377.8,680.1
150,15.8,43.9,87.9,131.8,219.7,366.1,659.1
200,13.8,42.5,85.1,127.6,21.7,354.4,638
250,12.1,40.8,81.6,122.3,203.9,339.8,611.7
300,10.2,38.7,77.4,116.1,193.4,322.4,580.3
325,9.3,37.6,75.2,112.7,187.8,313.1,563.7
350,8.4,36.4,72.8,109.2,182,303.3,545.9
375,7.4,35,69.9,104.9,174.9,291.4,524.6
400,6.5,32.6,65.2,97.9,163.1,271.9,489.3
425,5.5,27.3,54.6,81.9,136.5,227.5,409.5
450,4.6,21.6,43.2,64.8,107.9,179.9,323.8
475,3.7,15.7,31.3,47,78.3,130.6,235
500,2.8,11.1,22.1,33.2,55.4,92.3,166.1
538,1.4,5.9,11.8,17.7,29.5,49.2,88.6
